rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT24313,Cetuximab,Anti-EGFR,Randomized,None,Phase 3,81,1,Every 3 weeks,171,18-75,50% M/50% F,0-1,3,1,Normal,Infusion reaction,Hematological,Gastrointestinal,Mild,2,22.7,No,Yes,Dose reduction,Dose adjustment,17,54,Yes,Delay,Yes,No,Yes,Regulatory,Yes,Unknown,None,Medium
RCT47514,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 1,20,6,Monthly,173,21-85,40% M/60% F,0-1,1,2,Normal,Infusion reaction,Hepatic,Skin,Severe,1,23.92,No,No,Treatment hold,Patient education,2,47,No,None,Yes,Yes,No,Regulatory,Yes,None,None,Unknown
RCT73455,Trastuzumab,Anti-HER2,Randomized,None,Phase 1,282,5,Bi-weekly,69,18-75,60% M/40% F,0-1,1,1,Normal,Rash,Dermatological,Cardiac,Mild,4,24.45,No,No,Supportive care,Premedication,13,1,No,Reduction,Yes,Yes,Yes,Competition,No,Positive,Prior treatments,Medium
RCT60253,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,40,2,Every 3 weeks,113,18-65,60% M/40% F,0-1,3,2,Mild impairment,Infusion reaction,Hematological,Gastrointestinal,Mild,5,17.66,Yes,No,Dose reduction,Dose adjustment,10,37,No,Discontinuation,Yes,No,Yes,,No,None,Gender,High
RCT55631,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 3,131,15,Every 3 weeks,147,18-65,60% M/40% F,1-2,5,0,Mild impairment,Neutropenia,Hepatic,Blood,Mild,3,18.56,No,No,Discontinuation,Monitoring,23,33,Yes,Reduction,No,Yes,Yes,,Yes,Positive,Gender,High
RCT17309,Cetuximab,Anti-EGFR,Randomized,None,Phase 3,195,15,Weekly,48,≥18,60% M/40% F,1-2,3,3,Normal,Infusion reaction,Hepatic,Skin,Mild,1,28.98,No,No,Supportive care,Patient education,23,46,No,Reduction,No,No,Yes,,,Positive,ECOG,Medium
RCT74970,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,58,3,Weekly,73,21-85,50% M/50% F,0-1,0,0,Moderate impairment,Fatigue,Gastrointestinal,Cardiac,Severe,3,2.14,Yes,No,Supportive care,Dose adjustment,27,34,Yes,None,No,No,No,Safety,Yes,Positive,Age,Medium
RCT45059,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 2,117,10,Weekly,116,18-75,50% M/50% F,0-2,4,1,Moderate impairment,Fatigue,Dermatological,Cardiac,Mild,1,22.21,Yes,Yes,Dose reduction,Premedication,7,42,No,Delay,No,No,No,Competition,No,Positive,None,High
RCT75949,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,191,7,Bi-weekly,102,18-65,50% M/50% F,1-2,2,1,Mild impairment,Nausea,Cardiac,Blood,Mild,5,17.25,Yes,Yes,Discontinuation,Premedication,14,27,No,Delay,Yes,No,Yes,Regulatory,No,None,Age,Medium
RCT95168,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,130,3,Monthly,170,18-65,40% M/60% F,1-2,4,0,Mild impairment,Fatigue,Dermatological,Gastrointestinal,Severe,2,10.38,Yes,No,Dose reduction,Premedication,8,16,No,None,Yes,No,No,Efficacy,No,Positive,None,Low
RCT74292,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 3,77,4,Every 3 weeks,44,≥18,60% M/40% F,0-2,1,1,Moderate impairment,Infusion reaction,Hematological,Skin,Mild,3,5.66,Yes,No,Discontinuation,Patient education,6,59,Yes,None,No,Yes,No,Competition,,Unknown,Gender,Unknown
RCT14262,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 3,66,1,Weekly,91,18-75,40% M/60% F,0-1,4,2,Normal,Fatigue,Cardiac,Hepatic,Moderate,4,13.72,No,Yes,Discontinuation,Dose adjustment,25,53,Yes,None,Yes,No,Yes,Safety,,Unknown,Gender,Medium
RCT53093,Trastuzumab,Anti-HER2,Randomized,None,Phase 1,226,14,Weekly,44,≥18,50% M/50% F,1-2,3,2,Mild impairment,Fatigue,Cardiac,Gastrointestinal,Severe,2,9.54,Yes,Yes,Dose reduction,Monitoring,2,25,No,None,No,Yes,No,,Yes,Positive,Prior treatments,Unknown
RCT75180,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 2,237,4,Weekly,50,18-65,40% M/60% F,0-2,0,2,Mild impairment,Infusion reaction,Gastrointestinal,Blood,Severe,5,19.38,No,No,Supportive care,Patient education,18,18,Yes,Reduction,Yes,Yes,Yes,Competition,Yes,Positive,ECOG,High
RCT36601,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,216,7,Bi-weekly,160,≥18,50% M/50% F,0-2,4,2,Moderate impairment,Rash,Hepatic,Skin,Moderate,3,24.14,No,No,Discontinuation,Monitoring,1,30,No,Delay,Yes,No,Yes,Safety,,Unknown,Age,High
RCT48047,Cetuximab,Anti-EGFR,Single-arm,None,Phase 3,151,2,Bi-weekly,160,≥18,40% M/60% F,0-2,1,1,Moderate impairment,Neutropenia,Hematological,Skin,Moderate,2,27.29,No,No,Treatment hold,Dose adjustment,12,14,No,Delay,No,No,No,Efficacy,,None,Gender,High
RCT16625,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 3,179,14,Bi-weekly,79,18-75,50% M/50% F,1-2,4,3,Mild impairment,Rash,Cardiac,Skin,Severe,2,11.06,Yes,Yes,Discontinuation,Dose adjustment,10,50,Yes,Reduction,No,Yes,Yes,Efficacy,No,Unknown,Prior treatments,Medium
RCT13313,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,105,14,Weekly,51,18-65,40% M/60% F,0-2,3,0,Normal,Rash,Dermatological,Cardiac,Moderate,5,17.91,No,Yes,Supportive care,Premedication,4,15,Yes,Delay,Yes,Yes,Yes,Competition,,Unknown,Gender,Low
RCT20587,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 2,122,11,Weekly,138,≥18,40% M/60% F,1-2,2,3,Mild impairment,Nausea,Dermatological,Gastrointestinal,Mild,1,23.93,No,No,Supportive care,Premedication,9,4,Yes,Discontinuation,No,No,No,Competition,Yes,Negative,Age,Low
RCT26762,Bevacizumab,Anti-VEGF,Single-arm,Active comparator,Phase 2,79,14,Weekly,102,18-75,60% M/40% F,0-2,4,3,Mild impairment,Nausea,Gastrointestinal,Skin,Severe,2,22.31,Yes,Yes,Supportive care,Patient education,20,11,Yes,Reduction,No,No,No,Regulatory,Yes,Unknown,Prior treatments,Medium
RCT45773,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 2,126,5,Bi-weekly,171,18-65,50% M/50% F,1-2,1,3,Mild impairment,Infusion reaction,Hematological,Blood,Mild,4,11.19,No,No,Treatment hold,Patient education,9,46,Yes,None,Yes,No,Yes,,,None,None,Low
RCT70314,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 3,99,9,Weekly,89,≥18,60% M/40% F,0-1,4,2,Moderate impairment,Rash,Dermatological,Gastrointestinal,Severe,3,15.39,No,No,Treatment hold,Dose adjustment,4,45,No,Reduction,Yes,Yes,No,,,Unknown,Age,High
RCT88984,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 2,265,15,Monthly,167,≥18,60% M/40% F,1-2,1,3,Mild impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Severe,1,7.82,No,Yes,Discontinuation,Premedication,6,39,No,Discontinuation,No,No,No,Regulatory,,Positive,ECOG,Unknown
RCT78462,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 1,242,13,Weekly,103,18-75,50% M/50% F,0-2,0,2,Moderate impairment,Neutropenia,Hematological,Blood,Severe,3,3.87,No,Yes,Discontinuation,Dose adjustment,23,50,No,Discontinuation,No,No,No,Competition,Yes,Negative,Prior treatments,Medium
RCT43269,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 3,256,9,Bi-weekly,176,21-85,60% M/40% F,1-2,5,0,Mild impairment,Nausea,Hematological,Blood,Severe,1,4.1,Yes,Yes,Treatment hold,Premedication,15,44,Yes,None,No,No,No,Regulatory,,Unknown,Gender,Medium
RCT67974,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,194,11,Every 3 weeks,92,18-75,40% M/60% F,0-1,4,1,Normal,Infusion reaction,Gastrointestinal,Gastrointestinal,Severe,2,24.87,No,Yes,Supportive care,Dose adjustment,22,28,Yes,Reduction,No,Yes,No,Competition,,Positive,Prior treatments,Unknown
RCT33378,Rituximab,Anti-CD20,Crossover,Placebo,Phase 2,61,13,Every 3 weeks,126,21-85,40% M/60% F,0-2,1,0,Normal,Fatigue,Hematological,Hepatic,Mild,1,27.94,Yes,Yes,Treatment hold,Premedication,19,25,No,None,Yes,No,Yes,Regulatory,Yes,Unknown,Gender,High
RCT84514,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,149,8,Every 3 weeks,173,21-85,60% M/40% F,0-2,2,1,Mild impairment,Neutropenia,Gastrointestinal,Blood,Severe,4,12.28,No,Yes,Discontinuation,Monitoring,16,4,No,Reduction,No,No,Yes,Efficacy,,Unknown,Gender,Low
RCT96806,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,200,4,Every 3 weeks,31,21-85,50% M/50% F,0-2,0,2,Moderate impairment,Infusion reaction,Hepatic,Cardiac,Mild,1,11.33,Yes,No,Discontinuation,Premedication,26,55,Yes,Delay,No,Yes,Yes,,No,Positive,None,High
RCT52820,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 1,213,6,Weekly,105,21-85,60% M/40% F,0-1,2,1,Moderate impairment,Infusion reaction,Hepatic,Blood,Moderate,3,2.63,No,No,Dose reduction,Monitoring,6,18,No,Discontinuation,No,Yes,No,,No,Unknown,None,Medium
RCT42396,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 1,263,9,Bi-weekly,114,18-75,40% M/60% F,1-2,3,3,Moderate impairment,Infusion reaction,Gastrointestinal,Blood,Moderate,1,20.23,Yes,No,Dose reduction,Patient education,8,25,Yes,Discontinuation,Yes,Yes,Yes,Efficacy,No,None,None,Low
RCT21598,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 3,258,5,Bi-weekly,146,21-85,40% M/60% F,0-2,1,1,Normal,Fatigue,Hepatic,Hepatic,Mild,4,1.19,Yes,Yes,Supportive care,Monitoring,6,38,Yes,Reduction,Yes,Yes,Yes,Efficacy,,Negative,Gender,Medium
RCT44360,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 1,164,7,Weekly,100,21-85,40% M/60% F,1-2,3,3,Moderate impairment,Nausea,Gastrointestinal,Blood,Severe,5,13.74,Yes,Yes,Treatment hold,Monitoring,6,43,No,None,No,No,Yes,,Yes,Unknown,ECOG,Low
RCT99646,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,76,6,Monthly,78,18-65,60% M/40% F,1-2,5,2,Mild impairment,Infusion reaction,Hepatic,Skin,Severe,5,18.77,No,Yes,Supportive care,Monitoring,7,24,No,Reduction,Yes,No,No,Safety,,None,Gender,High
RCT48644,Bevacizumab,Anti-VEGF,Crossover,None,Phase 2,46,8,Monthly,129,18-65,50% M/50% F,1-2,0,3,Mild impairment,Fatigue,Hematological,Gastrointestinal,Moderate,4,22.69,Yes,No,Discontinuation,Monitoring,15,11,Yes,Discontinuation,Yes,Yes,Yes,,No,Positive,None,Unknown
RCT65789,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 2,119,12,Weekly,126,21-85,60% M/40% F,0-1,3,0,Moderate impairment,Nausea,Gastrointestinal,Hepatic,Severe,5,16.93,No,No,Treatment hold,Dose adjustment,10,11,No,None,Yes,Yes,No,Efficacy,,Unknown,Prior treatments,Unknown
RCT71933,Rituximab,Anti-CD20,Crossover,None,Phase 2,252,3,Monthly,53,≥18,60% M/40% F,1-2,4,1,Mild impairment,Infusion reaction,Dermatological,Skin,Severe,3,2.86,No,Yes,Treatment hold,Premedication,8,52,Yes,None,Yes,Yes,Yes,Safety,Yes,Negative,Gender,Low
RCT37655,Trastuzumab,Anti-HER2,Randomized,None,Phase 1,25,15,Every 3 weeks,166,≥18,40% M/60% F,0-2,1,1,Normal,Fatigue,Gastrointestinal,Gastrointestinal,Severe,1,3.11,Yes,No,Dose reduction,Monitoring,24,24,Yes,Discontinuation,Yes,No,Yes,Safety,Yes,Unknown,None,Medium
RCT39604,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,251,15,Bi-weekly,122,≥18,50% M/50% F,0-2,0,2,Normal,Neutropenia,Hepatic,Blood,Mild,2,11.83,Yes,No,Discontinuation,Monitoring,26,44,Yes,Reduction,Yes,No,Yes,Regulatory,No,None,Prior treatments,Medium
RCT54661,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,128,5,Every 3 weeks,161,≥18,60% M/40% F,0-2,2,3,Moderate impairment,Rash,Hepatic,Cardiac,Moderate,2,23.17,Yes,No,Dose reduction,Patient education,2,21,No,Reduction,Yes,No,Yes,Efficacy,,Positive,Gender,High
RCT52830,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 3,139,7,Monthly,91,18-75,50% M/50% F,1-2,4,2,Moderate impairment,Nausea,Cardiac,Blood,Mild,1,20.96,Yes,Yes,Supportive care,Monitoring,12,52,No,Discontinuation,No,Yes,No,Safety,No,Unknown,Gender,Low
RCT91571,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 3,285,6,Bi-weekly,52,18-65,60% M/40% F,0-1,2,3,Moderate impairment,Fatigue,Dermatological,Cardiac,Mild,5,20.26,Yes,Yes,Discontinuation,Patient education,3,4,No,Reduction,No,No,No,Regulatory,No,Unknown,Gender,Unknown
RCT89108,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 2,280,12,Every 3 weeks,48,≥18,40% M/60% F,1-2,2,2,Mild impairment,Nausea,Cardiac,Blood,Mild,4,7.3,No,Yes,Dose reduction,Patient education,5,22,No,Delay,Yes,No,Yes,Regulatory,,None,Gender,High
RCT34501,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 3,106,14,Bi-weekly,147,18-65,40% M/60% F,0-1,5,3,Normal,Fatigue,Hematological,Gastrointestinal,Moderate,5,29.59,No,Yes,Dose reduction,Monitoring,1,11,Yes,None,Yes,Yes,No,,No,Positive,None,Low
RCT24001,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,289,4,Every 3 weeks,56,18-65,60% M/40% F,0-1,2,1,Mild impairment,Infusion reaction,Dermatological,Gastrointestinal,Mild,3,6.42,Yes,Yes,Supportive care,Dose adjustment,12,6,Yes,Discontinuation,No,No,No,Efficacy,,None,None,High
RCT33446,Cetuximab,Anti-EGFR,Single-arm,None,Phase 3,28,12,Weekly,97,≥18,60% M/40% F,1-2,2,2,Normal,Neutropenia,Dermatological,Blood,Mild,4,22.41,No,No,Supportive care,Patient education,12,60,No,Reduction,Yes,No,No,Safety,Yes,Positive,ECOG,Medium
RCT48513,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 2,211,1,Weekly,34,≥18,40% M/60% F,0-2,2,1,Normal,Fatigue,Cardiac,Skin,Severe,2,16.75,No,No,Dose reduction,Monitoring,2,18,Yes,Reduction,No,No,Yes,Competition,,None,Gender,High
RCT95276,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 1,188,14,Bi-weekly,140,21-85,40% M/60% F,0-1,2,0,Moderate impairment,Rash,Gastrointestinal,Hepatic,Moderate,5,18.84,No,Yes,Discontinuation,Patient education,23,16,Yes,None,Yes,No,No,Safety,Yes,None,Age,Low
RCT20474,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 1,22,5,Monthly,94,18-65,60% M/40% F,0-2,5,3,Moderate impairment,Fatigue,Hepatic,Hepatic,Severe,1,14.08,Yes,No,Dose reduction,Dose adjustment,1,14,No,Reduction,Yes,No,No,Regulatory,Yes,Unknown,Gender,Medium
RCT55661,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,27,5,Weekly,68,21-85,60% M/40% F,0-1,0,0,Mild impairment,Infusion reaction,Cardiac,Hepatic,Mild,5,25.46,Yes,Yes,Discontinuation,Premedication,8,37,Yes,Reduction,No,Yes,Yes,,,Negative,ECOG,Low
RCT38838,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 1,273,10,Bi-weekly,159,21-85,60% M/40% F,0-2,0,3,Moderate impairment,Rash,Dermatological,Cardiac,Moderate,4,16.09,No,No,Dose reduction,Premedication,22,31,No,Delay,Yes,Yes,Yes,Safety,Yes,Unknown,None,High
RCT21534,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 1,130,6,Every 3 weeks,156,≥18,60% M/40% F,0-2,3,2,Moderate impairment,Rash,Dermatological,Gastrointestinal,Mild,2,21.05,Yes,Yes,Treatment hold,Monitoring,27,4,Yes,Delay,Yes,No,No,Competition,Yes,Negative,Prior treatments,Unknown
RCT33567,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 3,201,1,Bi-weekly,140,18-75,60% M/40% F,1-2,5,2,Normal,Fatigue,Cardiac,Hepatic,Mild,2,17.07,No,No,Supportive care,Monitoring,25,43,Yes,Delay,No,No,No,Competition,No,None,Gender,Medium
RCT71452,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,30,1,Bi-weekly,156,18-75,50% M/50% F,0-1,4,0,Moderate impairment,Rash,Dermatological,Skin,Severe,1,20.42,No,No,Supportive care,Patient education,5,12,Yes,Reduction,Yes,Yes,Yes,,,Negative,Prior treatments,Low
RCT50667,Bevacizumab,Anti-VEGF,Crossover,None,Phase 2,30,13,Weekly,176,21-85,40% M/60% F,1-2,2,0,Mild impairment,Infusion reaction,Hematological,Cardiac,Moderate,4,16.54,Yes,Yes,Discontinuation,Patient education,10,40,No,Delay,No,Yes,No,Efficacy,Yes,Unknown,ECOG,Low
RCT55688,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 2,36,5,Every 3 weeks,55,18-65,60% M/40% F,1-2,1,2,Moderate impairment,Fatigue,Hepatic,Skin,Severe,5,29.45,Yes,Yes,Dose reduction,Monitoring,13,32,No,Discontinuation,Yes,No,No,Regulatory,No,None,ECOG,Low
RCT71749,Rituximab,Anti-CD20,Randomized,Placebo,Phase 2,126,12,Every 3 weeks,83,18-65,50% M/50% F,0-1,0,1,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Severe,2,2.67,No,Yes,Dose reduction,Monitoring,27,2,No,Discontinuation,Yes,No,Yes,Efficacy,Yes,None,Prior treatments,High
RCT68836,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 2,89,1,Bi-weekly,176,18-65,40% M/60% F,1-2,2,0,Normal,Nausea,Hematological,Skin,Mild,3,1.3,No,No,Discontinuation,Dose adjustment,25,34,Yes,Delay,Yes,No,No,Regulatory,No,Positive,Prior treatments,Unknown
RCT50534,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 1,131,5,Bi-weekly,56,21-85,40% M/60% F,0-1,3,2,Mild impairment,Neutropenia,Hematological,Blood,Severe,3,21.12,Yes,No,Discontinuation,Patient education,2,27,No,Reduction,No,No,Yes,Competition,,Unknown,Age,Low
RCT69839,Bevacizumab,Anti-VEGF,Randomized,None,Phase 2,139,6,Bi-weekly,119,18-65,40% M/60% F,0-1,5,0,Mild impairment,Nausea,Hematological,Hepatic,Severe,3,3.49,Yes,Yes,Dose reduction,Dose adjustment,4,20,Yes,None,No,No,No,Competition,Yes,None,Gender,Medium
RCT36796,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,129,11,Monthly,179,18-65,50% M/50% F,0-2,2,3,Normal,Neutropenia,Dermatological,Hepatic,Moderate,4,11.17,Yes,No,Discontinuation,Dose adjustment,6,14,No,Delay,No,No,No,Safety,,Positive,Age,Unknown
RCT15678,Rituximab,Anti-CD20,Crossover,None,Phase 3,230,2,Bi-weekly,91,21-85,60% M/40% F,0-2,0,0,Moderate impairment,Fatigue,Hepatic,Hepatic,Mild,2,18.6,No,Yes,Supportive care,Dose adjustment,19,53,Yes,Delay,Yes,Yes,No,Regulatory,No,None,ECOG,High
RCT67549,Trastuzumab,Anti-HER2,Crossover,None,Phase 2,94,13,Weekly,126,≥18,50% M/50% F,0-1,0,0,Mild impairment,Infusion reaction,Hematological,Gastrointestinal,Severe,5,16.43,Yes,No,Discontinuation,Patient education,16,7,Yes,Discontinuation,Yes,No,Yes,,No,None,Age,Unknown
RCT21979,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,185,6,Monthly,57,≥18,40% M/60% F,0-2,0,3,Moderate impairment,Infusion reaction,Gastrointestinal,Skin,Moderate,3,16.11,Yes,Yes,Discontinuation,Dose adjustment,3,15,Yes,Delay,Yes,Yes,No,,Yes,Negative,ECOG,High
RCT31268,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 3,61,6,Bi-weekly,50,≥18,60% M/40% F,1-2,2,1,Mild impairment,Infusion reaction,Dermatological,Hepatic,Moderate,2,1.8,Yes,No,Dose reduction,Dose adjustment,15,20,Yes,Delay,No,Yes,Yes,Competition,No,Unknown,Gender,High
RCT48875,Cetuximab,Anti-EGFR,Crossover,None,Phase 3,279,2,Every 3 weeks,177,18-65,40% M/60% F,0-2,4,3,Mild impairment,Nausea,Hematological,Gastrointestinal,Mild,1,15.05,No,No,Treatment hold,Dose adjustment,25,20,Yes,Reduction,Yes,No,No,Competition,Yes,None,Gender,Unknown
RCT27890,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 2,119,6,Bi-weekly,130,18-75,60% M/40% F,0-1,2,3,Mild impairment,Rash,Hepatic,Hepatic,Severe,3,15.57,Yes,Yes,Supportive care,Premedication,19,50,Yes,None,No,No,No,Regulatory,No,None,None,High
RCT20969,Trastuzumab,Anti-HER2,Randomized,None,Phase 3,231,5,Bi-weekly,32,21-85,50% M/50% F,0-2,4,0,Mild impairment,Rash,Gastrointestinal,Gastrointestinal,Severe,5,21.9,Yes,No,Supportive care,Premedication,9,11,Yes,Discontinuation,No,No,Yes,,,None,Prior treatments,High
RCT98909,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,226,14,Weekly,57,18-75,50% M/50% F,0-2,5,2,Normal,Rash,Gastrointestinal,Cardiac,Mild,2,11.62,Yes,Yes,Treatment hold,Monitoring,6,3,Yes,Reduction,Yes,Yes,Yes,Efficacy,No,Negative,ECOG,Unknown
RCT42212,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,245,4,Every 3 weeks,144,18-65,40% M/60% F,0-2,3,2,Moderate impairment,Infusion reaction,Cardiac,Skin,Mild,4,1.53,Yes,Yes,Treatment hold,Patient education,10,32,Yes,None,Yes,No,No,Competition,No,Negative,None,High
RCT73452,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 2,27,9,Monthly,35,18-65,60% M/40% F,0-2,5,3,Mild impairment,Infusion reaction,Gastrointestinal,Blood,Severe,2,13.11,Yes,Yes,Supportive care,Premedication,22,51,No,Delay,Yes,Yes,Yes,Regulatory,No,Unknown,Gender,Unknown
RCT84645,Rituximab,Anti-CD20,Crossover,None,Phase 1,216,12,Monthly,146,18-75,50% M/50% F,0-1,0,0,Moderate impairment,Fatigue,Dermatological,Skin,Mild,4,19.57,Yes,Yes,Treatment hold,Monitoring,15,17,No,None,Yes,No,No,Safety,Yes,Negative,ECOG,High
RCT51120,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 1,35,1,Weekly,144,≥18,40% M/60% F,1-2,0,0,Mild impairment,Fatigue,Hepatic,Hepatic,Severe,5,26.59,Yes,Yes,Treatment hold,Premedication,3,24,Yes,Delay,No,Yes,Yes,,,Negative,None,Medium
RCT89212,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 2,118,3,Monthly,155,≥18,60% M/40% F,0-2,1,2,Normal,Rash,Dermatological,Skin,Mild,4,25.7,Yes,No,Discontinuation,Monitoring,7,7,No,Discontinuation,Yes,Yes,Yes,Competition,,Negative,None,High
RCT21907,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 3,69,9,Weekly,130,≥18,40% M/60% F,1-2,4,3,Mild impairment,Nausea,Gastrointestinal,Gastrointestinal,Severe,1,15.49,Yes,Yes,Treatment hold,Premedication,24,58,Yes,Reduction,No,Yes,Yes,Safety,Yes,Positive,Gender,Low
RCT78653,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,196,15,Every 3 weeks,35,≥18,60% M/40% F,0-1,0,1,Normal,Nausea,Hematological,Skin,Mild,5,20.05,Yes,No,Discontinuation,Patient education,3,16,No,Delay,Yes,No,No,Competition,No,None,Gender,High
RCT32097,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 1,120,11,Every 3 weeks,106,18-75,60% M/40% F,1-2,2,0,Mild impairment,Fatigue,Dermatological,Hepatic,Moderate,1,25.85,No,No,Treatment hold,Premedication,25,3,Yes,Reduction,Yes,Yes,No,Efficacy,No,Unknown,ECOG,High
RCT10329,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 3,111,4,Bi-weekly,130,≥18,50% M/50% F,1-2,1,2,Normal,Nausea,Hepatic,Blood,Moderate,3,5.98,Yes,Yes,Discontinuation,Patient education,12,26,No,Reduction,Yes,No,No,Competition,,None,Gender,Unknown
RCT41501,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 3,283,14,Every 3 weeks,116,18-75,40% M/60% F,0-2,4,3,Mild impairment,Infusion reaction,Hematological,Hepatic,Moderate,4,14.58,Yes,Yes,Dose reduction,Premedication,20,25,Yes,Reduction,Yes,Yes,No,,,Positive,Gender,Unknown
RCT42032,Bevacizumab,Anti-VEGF,Crossover,None,Phase 1,235,7,Every 3 weeks,87,18-75,60% M/40% F,0-2,1,1,Mild impairment,Fatigue,Hepatic,Cardiac,Severe,1,9.25,Yes,No,Treatment hold,Dose adjustment,3,33,Yes,None,Yes,No,No,Regulatory,No,Unknown,None,High
RCT21432,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 3,172,5,Weekly,160,18-75,50% M/50% F,0-2,4,2,Mild impairment,Infusion reaction,Hematological,Skin,Severe,5,7.26,No,No,Dose reduction,Premedication,25,52,No,None,No,Yes,Yes,Safety,Yes,Positive,Age,Unknown
RCT37658,Rituximab,Anti-CD20,Randomized,None,Phase 3,108,6,Monthly,127,18-65,60% M/40% F,0-1,2,2,Moderate impairment,Infusion reaction,Hepatic,Cardiac,Moderate,1,23.92,Yes,Yes,Supportive care,Monitoring,1,45,No,Discontinuation,No,Yes,Yes,Competition,Yes,None,ECOG,Unknown
RCT49891,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 2,128,2,Every 3 weeks,40,18-65,40% M/60% F,1-2,0,2,Moderate impairment,Rash,Hematological,Skin,Mild,3,8.16,No,Yes,Discontinuation,Dose adjustment,24,49,No,Discontinuation,Yes,No,No,Competition,No,Unknown,ECOG,Low
RCT20873,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 2,166,12,Bi-weekly,53,18-75,60% M/40% F,0-1,5,3,Normal,Rash,Gastrointestinal,Cardiac,Severe,5,27.73,Yes,Yes,Treatment hold,Dose adjustment,6,44,Yes,Discontinuation,No,Yes,Yes,Regulatory,Yes,None,None,Unknown
